Ora;Consumo carichi, kWh
1;48,375
2;3,75
3;6,25
4;3,25
5;6,5
6;3,25
7;11
8;38,75
9;14,125
10;3,875
11;11,25
12;8,125
13;11,75
14;10,875
15;12,5
16;3,25
17;11,125
18;37
19;42,75
20;44,625
21;19,25
22;16
23;15,125
24;11,75
25;7,875
26;4
27;6
28;4,75
29;5,625
30;5,875
31;3,875
32;14,75
33;24,75
34;19,875
35;25,75
36;15,25
37;6,625
38;4
39;6,375
40;3,25
41;6,875
42;21,625
43;29,375
44;68,625
45;13,875
46;16,5
47;16,75
48;23,875
49;17
50;15,5
51;10,125
52;5,875
53;4,125
54;5,125
55;5
56;6,5
57;27,875
58;26,625
59;28,125
60;3
61;8,375
62;28,5
63;70,75
64;24,875
65;52,5
66;29,625
67;167,625
68;87,75
69;52,25
70;18,375
71;12
72;37,375
73;42,25
74;6,375
75;4,5
76;6,5
77;4
78;7
79;5
80;52,625
81;16,75
82;46,5
83;35,625
84;37,375
85;15,25
86;9
87;7,75
88;4
89;10,875
90;25,625
91;35
92;24,625
93;30,25
94;18,125
95;23,5
96;25,5
97;9
98;6,25
99;3,25
100;6,625
101;3,25
102;6,5
103;4,375
104;35,75
105;15,75
106;14,625
107;22
108;12,625
109;5,375
110;14,375
111;5,375
112;12,75
113;7
114;21
115;35,5
116;19,875
117;26,625
118;13,875
119;15,5
120;15,625
121;6,75
122;5,375
123;3,875
124;6
125;3,25
126;6,625
127;4,125
128;31,625
129;7,25
130;6,125
131;3,625
132;7,75
133;17,625
134;21,125
135;20,625
136;18,625
137;21,125
138;62,5
139;73,375
140;48,625
141;27
142;17,25
143;42,375
144;48,875
145;9,25
146;8,75
147;7,25
148;7,75
149;4,375
150;4,625
151;8,625
152;29,875
153;18,75
154;19,625
155;16
156;9,875
157;6,875
158;10,5
159;9,125
160;7,125
161;15,375
162;47,625
163;84,625
164;18,375
165;30,5
166;21,625
167;21,875
168;14
169;14,375
170;5,375
171;6,875
172;4,625
173;7,125
174;4
175;7,75
176;33,5
177;17
178;10,625
179;10,625
180;3,25
181;12,625
182;12,25
183;6
184;8,75
185;13,375
186;14,625
187;50,125
188;38,875
189;32,125
190;16,25
191;43,625
192;51,25
193;49,875
194;56,25
195;55,875
196;3,5
197;6,375
198;4
199;5,375
200;10,875
201;24,875
202;30,375
203;16,5
204;18,625
205;56,375
206;67,375
207;28,25
208;6,75
209;20,125
210;71,625
211;4,625
212;17
213;35,5
214;66,75
215;19,625
216;30
217;18,875
218;11,875
219;7,25
220;3,625
221;5,75
222;4,375
223;5
224;7,125
225;19
226;25,625
227;24,625
228;32,75
229;23,625
230;21
231;20,875
232;51,75
233;51,625
234;22,25
235;27,75
236;35,875
237;20,25
238;17,5
239;17,25
240;17
241;14,375
242;17,875
243;17,75
244;8,875
245;6
246;4,875
247;9,75
248;29
249;16,5
250;17,5
251;11,625
252;42,125
253;38,5
