Ora;Produzione FV, kWh
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0,8655
9;6,754590909
10;12,56072727
11;16,29195455
12;16,40704545
13;15,73390909
14;12,16377273
15;6,670318182
16;1,054272727
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;1,082090909
33;8,261772727
34;14,40472727
35;19,28945455
36;19,89918182
37;14,252
38;12,20036364
39;7,326545455
40;1,058590909
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0,355772727
57;3,238954545
58;6,598181818
59;10,95681818
60;14,06640909
61;13,35559091
62;11,92454545
63;6,413636364
64;1,064181818
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0,860590909
81;6,621090909
82;12,52895455
83;15,01095455
84;15,19327273
85;13,56354545
86;10,48063636
87;6,2575
88;0,950045455
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0,600681818
105;5,716318182
106;10,93654545
107;15,48172727
108;15,46318182
109;13,02372727
110;10,39677273
111;6,1945
112;1,079090909
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0,444545455
129;3,859409091
130;8,896
131;12,63290909
132;15,79004545
133;16,11227273
134;14,24068182
135;7,246954545
136;1,626727273
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;1,093590909
153;8,861727273
154;16,76309091
155;21,58922727
156;21,14768182
157;19,40754545
158;14,26177273
159;7,550545455
160;1,342409091
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0,766818182
177;6,697318182
178;11,16722727
179;13,31736364
180;12,66945455
181;9,9895
182;9,595772727
183;5,155363636
184;1,075090909
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;1,016363636
201;7,985681818
202;13,47918182
203;15,81559091
